,type,coordinates,date,lon,lat
4,Point,"[75.8772840744825, 30.05349985089001]",04-11-2019,75.87728407,30.05349985
5,Point,"[75.92344315184049, 30.066444959792346]",04-11-2019,75.92344315,30.06644496
6,Point,"[76.11791767962858, 30.27053463367173]",04-11-2019,76.11791768,30.27053463
7,Point,"[75.89538603741995, 30.34657875880699]",04-11-2019,75.89538604,30.34657876
8,Point,"[75.93493941405836, 30.41177035977645]",04-11-2019,75.93493941,30.41177036
9,Point,"[75.90763178789807, 30.4205012929132]",04-11-2019,75.90763179,30.42050129
10,Point,"[75.97321616195357, 30.538381237544403]",04-11-2019,75.97321616,30.53838124
11,Point,"[76.03371513466448, 30.53820497162646]",04-11-2019,76.03371513,30.53820497
12,Point,"[75.68858172371188, 30.421632481106304]",04-11-2019,75.68858172,30.42163248
13,Point,"[75.84072246937964, 30.125529880799146]",04-11-2019,75.84072247,30.12552988
0,Point,"[76.6798631543387, 30.596131331970827]",06-11-2019,76.67986315,30.59613133
0,Point,"[74.53190004066737, 31.28493900647332]",04-11-2019,74.53190004,31.28493901
1,Point,"[74.52305306037614, 31.23337412373009]",04-11-2019,74.52305306,31.23337412
2,Point,"[75.00424419987444, 31.232673688977354]",04-11-2019,75.0042442,31.23267369
3,Point,"[74.96814581714736, 31.409431997596517]",04-11-2019,74.96814582,31.409432
4,Point,"[74.87637467512788, 31.42993112272408]",04-11-2019,74.87637468,31.42993112
